name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description
H10-H11	SEEG	µV	n/a	n/a	intracranial	H	4096	SEEG	n/a	good	n/a
H11-H12	SEEG	µV	n/a	n/a	intracranial	H	4096	SEEG	n/a	good	n/a
H12-H13	SEEG	µV	n/a	n/a	intracranial	H	4096	SEEG	n/a	good	n/a
H13-H14	SEEG	µV	n/a	n/a	intracranial	H	4096	SEEG	n/a	good	n/a
H14-H15	SEEG	µV	n/a	n/a	intracranial	H	4096	SEEG	n/a	good	n/a
X04-X05	SEEG	µV	n/a	n/a	intracranial	X	4096	SEEG	n/a	good	n/a
X05-X06	SEEG	µV	n/a	n/a	intracranial	X	4096	SEEG	n/a	good	n/a
X06-X07	SEEG	µV	n/a	n/a	intracranial	X	4096	SEEG	n/a	good	n/a
X07-X08	SEEG	µV	n/a	n/a	intracranial	X	4096	SEEG	n/a	good	n/a
X08-X09	SEEG	µV	n/a	n/a	intracranial	X	4096	SEEG	n/a	good	n/a
X09-X10	SEEG	µV	n/a	n/a	intracranial	X	4096	SEEG	n/a	good	n/a
X14-X15	SEEG	µV	n/a	n/a	intracranial	X	4096	SEEG	n/a	good	n/a
R02-R03	SEEG	µV	n/a	n/a	intracranial	R	4096	SEEG	n/a	good	n/a
R03-R04	SEEG	µV	n/a	n/a	intracranial	R	4096	SEEG	n/a	good	n/a
R04-R05	SEEG	µV	n/a	n/a	intracranial	R	4096	SEEG	n/a	good	n/a
R05-R06	SEEG	µV	n/a	n/a	intracranial	R	4096	SEEG	n/a	good	n/a
R08-R09	SEEG	µV	n/a	n/a	intracranial	R	4096	SEEG	n/a	good	n/a
Y06-Y07	SEEG	µV	n/a	n/a	intracranial	Y	4096	SEEG	n/a	good	n/a
Y07-Y08	SEEG	µV	n/a	n/a	intracranial	Y	4096	SEEG	n/a	good	n/a
Y12-Y13	SEEG	µV	n/a	n/a	intracranial	Y	4096	SEEG	n/a	good	n/a
S05-S06	SEEG	µV	n/a	n/a	intracranial	S	4096	SEEG	n/a	good	n/a
S06-S07	SEEG	µV	n/a	n/a	intracranial	S	4096	SEEG	n/a	good	n/a
S07-S08	SEEG	µV	n/a	n/a	intracranial	S	4096	SEEG	n/a	good	n/a
S08-S09	SEEG	µV	n/a	n/a	intracranial	S	4096	SEEG	n/a	good	n/a
S09-S10	SEEG	µV	n/a	n/a	intracranial	S	4096	SEEG	n/a	good	n/a
S10-S11	SEEG	µV	n/a	n/a	intracranial	S	4096	SEEG	n/a	good	n/a
V04-V05	SEEG	µV	n/a	n/a	intracranial	V	4096	SEEG	n/a	good	n/a
V13-V14	SEEG	µV	n/a	n/a	intracranial	V	4096	SEEG	n/a	good	n/a
V14-V15	SEEG	µV	n/a	n/a	intracranial	V	4096	SEEG	n/a	good	n/a
Q'01-Q'02	SEEG	µV	n/a	n/a	intracranial	Q'	4096	SEEG	n/a	good	n/a
Q'02-Q'03	SEEG	µV	n/a	n/a	intracranial	Q'	4096	SEEG	n/a	good	n/a
Q'03-Q'04	SEEG	µV	n/a	n/a	intracranial	Q'	4096	SEEG	n/a	good	n/a
Q'04-Q'05	SEEG	µV	n/a	n/a	intracranial	Q'	4096	SEEG	n/a	good	n/a
Q'07-Q'08	SEEG	µV	n/a	n/a	intracranial	Q'	4096	SEEG	n/a	good	n/a
R'02-R'03	SEEG	µV	n/a	n/a	intracranial	R'	4096	SEEG	n/a	good	n/a
R'03-R'04	SEEG	µV	n/a	n/a	intracranial	R'	4096	SEEG	n/a	good	n/a
R'04-R'05	SEEG	µV	n/a	n/a	intracranial	R'	4096	SEEG	n/a	good	n/a
R'07-R'08	SEEG	µV	n/a	n/a	intracranial	R'	4096	SEEG	n/a	good	n/a
R'08-R'09	SEEG	µV	n/a	n/a	intracranial	R'	4096	SEEG	n/a	good	n/a
R'09-R'10	SEEG	µV	n/a	n/a	intracranial	R'	4096	SEEG	n/a	good	n/a
Y'01-Y'02	SEEG	µV	n/a	n/a	intracranial	Y'	4096	SEEG	n/a	good	n/a
Y'02-Y'03	SEEG	µV	n/a	n/a	intracranial	Y'	4096	SEEG	n/a	good	n/a
Y'03-Y'04	SEEG	µV	n/a	n/a	intracranial	Y'	4096	SEEG	n/a	good	n/a
Y'06-Y'07	SEEG	µV	n/a	n/a	intracranial	Y'	4096	SEEG	n/a	good	n/a
W'01-W'02	SEEG	µV	n/a	n/a	intracranial	W'	4096	SEEG	n/a	good	n/a
W'02-W'03	SEEG	µV	n/a	n/a	intracranial	W'	4096	SEEG	n/a	good	n/a
W'07-W'08	SEEG	µV	n/a	n/a	intracranial	W'	4096	SEEG	n/a	good	n/a
W'08-W'09	SEEG	µV	n/a	n/a	intracranial	W'	4096	SEEG	n/a	good	n/a
W'09-W'10	SEEG	µV	n/a	n/a	intracranial	W'	4096	SEEG	n/a	good	n/a
S'01-S'02	SEEG	µV	n/a	n/a	intracranial	S'	4096	SEEG	n/a	good	n/a
S'02-S'03	SEEG	µV	n/a	n/a	intracranial	S'	4096	SEEG	n/a	good	n/a
S'05-S'06	SEEG	µV	n/a	n/a	intracranial	S'	4096	SEEG	n/a	good	n/a
