name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description
A01-A02	SEEG	µV	n/a	n/a	intracranial	A	512	SEEG	n/a	good	n/a
A02-A03	SEEG	µV	n/a	n/a	intracranial	A	512	SEEG	n/a	good	n/a
A03-A04	SEEG	µV	n/a	n/a	intracranial	A	512	SEEG	n/a	good	n/a
A04-A05	SEEG	µV	n/a	n/a	intracranial	A	512	SEEG	n/a	good	n/a
A05-A06	SEEG	µV	n/a	n/a	intracranial	A	512	SEEG	n/a	good	n/a
A06-A07	SEEG	µV	n/a	n/a	intracranial	A	512	SEEG	n/a	good	n/a
A07-A08	SEEG	µV	n/a	n/a	intracranial	A	512	SEEG	n/a	good	n/a
A08-A09	SEEG	µV	n/a	n/a	intracranial	A	512	SEEG	n/a	good	n/a
A09-A10	SEEG	µV	n/a	n/a	intracranial	A	512	SEEG	n/a	good	n/a
B01-B02	SEEG	µV	n/a	n/a	intracranial	B	512	SEEG	n/a	good	n/a
B02-B03	SEEG	µV	n/a	n/a	intracranial	B	512	SEEG	n/a	good	n/a
B03-B04	SEEG	µV	n/a	n/a	intracranial	B	512	SEEG	n/a	good	n/a
B04-B05	SEEG	µV	n/a	n/a	intracranial	B	512	SEEG	n/a	good	n/a
B05-B06	SEEG	µV	n/a	n/a	intracranial	B	512	SEEG	n/a	good	n/a
B06-B07	SEEG	µV	n/a	n/a	intracranial	B	512	SEEG	n/a	good	n/a
B07-B08	SEEG	µV	n/a	n/a	intracranial	B	512	SEEG	n/a	good	n/a
B08-B09	SEEG	µV	n/a	n/a	intracranial	B	512	SEEG	n/a	good	n/a
B10-B11	SEEG	µV	n/a	n/a	intracranial	B	512	SEEG	n/a	good	n/a
B11-B12	SEEG	µV	n/a	n/a	intracranial	B	512	SEEG	n/a	good	n/a
B12-B13	SEEG	µV	n/a	n/a	intracranial	B	512	SEEG	n/a	good	n/a
C01-C02	SEEG	µV	n/a	n/a	intracranial	C	512	SEEG	n/a	good	n/a
C02-C03	SEEG	µV	n/a	n/a	intracranial	C	512	SEEG	n/a	good	n/a
C03-C04	SEEG	µV	n/a	n/a	intracranial	C	512	SEEG	n/a	good	n/a
C04-C05	SEEG	µV	n/a	n/a	intracranial	C	512	SEEG	n/a	good	n/a
C05-C06	SEEG	µV	n/a	n/a	intracranial	C	512	SEEG	n/a	good	n/a
C06-C07	SEEG	µV	n/a	n/a	intracranial	C	512	SEEG	n/a	good	n/a
C07-C08	SEEG	µV	n/a	n/a	intracranial	C	512	SEEG	n/a	good	n/a
C10-C11	SEEG	µV	n/a	n/a	intracranial	C	512	SEEG	n/a	good	n/a
C11-C12	SEEG	µV	n/a	n/a	intracranial	C	512	SEEG	n/a	good	n/a
C12-C13	SEEG	µV	n/a	n/a	intracranial	C	512	SEEG	n/a	good	n/a
E01-E02	SEEG	µV	n/a	n/a	intracranial	E	512	SEEG	n/a	good	n/a
E02-E03	SEEG	µV	n/a	n/a	intracranial	E	512	SEEG	n/a	good	n/a
E03-E04	SEEG	µV	n/a	n/a	intracranial	E	512	SEEG	n/a	good	n/a
E04-E05	SEEG	µV	n/a	n/a	intracranial	E	512	SEEG	n/a	good	n/a
E05-E06	SEEG	µV	n/a	n/a	intracranial	E	512	SEEG	n/a	good	n/a
E07-E08	SEEG	µV	n/a	n/a	intracranial	E	512	SEEG	n/a	good	n/a
E08-E09	SEEG	µV	n/a	n/a	intracranial	E	512	SEEG	n/a	good	n/a
E09-E10	SEEG	µV	n/a	n/a	intracranial	E	512	SEEG	n/a	good	n/a
E10-E11	SEEG	µV	n/a	n/a	intracranial	E	512	SEEG	n/a	good	n/a
F01-F02	SEEG	µV	n/a	n/a	intracranial	F	512	SEEG	n/a	good	n/a
F02-F03	SEEG	µV	n/a	n/a	intracranial	F	512	SEEG	n/a	good	n/a
F03-F04	SEEG	µV	n/a	n/a	intracranial	F	512	SEEG	n/a	good	n/a
F05-F06	SEEG	µV	n/a	n/a	intracranial	F	512	SEEG	n/a	good	n/a
F06-F07	SEEG	µV	n/a	n/a	intracranial	F	512	SEEG	n/a	good	n/a
F07-F08	SEEG	µV	n/a	n/a	intracranial	F	512	SEEG	n/a	good	n/a
F08-F09	SEEG	µV	n/a	n/a	intracranial	F	512	SEEG	n/a	good	n/a
F09-F10	SEEG	µV	n/a	n/a	intracranial	F	512	SEEG	n/a	good	n/a
