name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description
H'07-H'08	SEEG	µV	n/a	n/a	intracranial	H'	4096	SEEG	n/a	good	n/a
H'08-H'09	SEEG	µV	n/a	n/a	intracranial	H'	4096	SEEG	n/a	good	n/a
L'01-L'02	SEEG	µV	n/a	n/a	intracranial	L'	4096	SEEG	n/a	good	n/a
L'02-L'03	SEEG	µV	n/a	n/a	intracranial	L'	4096	SEEG	n/a	good	n/a
L'03-L'04	SEEG	µV	n/a	n/a	intracranial	L'	4096	SEEG	n/a	good	n/a
L'04-L'05	SEEG	µV	n/a	n/a	intracranial	L'	4096	SEEG	n/a	good	n/a
L'05-L'06	SEEG	µV	n/a	n/a	intracranial	L'	4096	SEEG	n/a	good	n/a
L'08-L'09	SEEG	µV	n/a	n/a	intracranial	L'	4096	SEEG	n/a	good	n/a
L'09-L'10	SEEG	µV	n/a	n/a	intracranial	L'	4096	SEEG	n/a	good	n/a
L'10-L'11	SEEG	µV	n/a	n/a	intracranial	L'	4096	SEEG	n/a	good	n/a
Q'01-Q'02	SEEG	µV	n/a	n/a	intracranial	Q'	4096	SEEG	n/a	good	n/a
Q'02-Q'03	SEEG	µV	n/a	n/a	intracranial	Q'	4096	SEEG	n/a	good	n/a
Q'07-Q'08	SEEG	µV	n/a	n/a	intracranial	Q'	4096	SEEG	n/a	good	n/a
R'04-R'05	SEEG	µV	n/a	n/a	intracranial	R'	4096	SEEG	n/a	good	n/a
R'05-R'06	SEEG	µV	n/a	n/a	intracranial	R'	4096	SEEG	n/a	good	n/a
R'06-R'07	SEEG	µV	n/a	n/a	intracranial	R'	4096	SEEG	n/a	good	n/a
R'07-R'08	SEEG	µV	n/a	n/a	intracranial	R'	4096	SEEG	n/a	good	n/a
R'08-R'09	SEEG	µV	n/a	n/a	intracranial	R'	4096	SEEG	n/a	good	n/a
X'01-X'02	SEEG	µV	n/a	n/a	intracranial	X'	4096	SEEG	n/a	good	n/a
X'04-X'05	SEEG	µV	n/a	n/a	intracranial	X'	4096	SEEG	n/a	good	n/a
X'12-X'13	SEEG	µV	n/a	n/a	intracranial	X'	4096	SEEG	n/a	good	n/a
C'01-C'02	SEEG	µV	n/a	n/a	intracranial	C'	4096	SEEG	n/a	good	n/a
C'02-C'03	SEEG	µV	n/a	n/a	intracranial	C'	4096	SEEG	n/a	good	n/a
C'03-C'04	SEEG	µV	n/a	n/a	intracranial	C'	4096	SEEG	n/a	good	n/a
C'04-C'05	SEEG	µV	n/a	n/a	intracranial	C'	4096	SEEG	n/a	good	n/a
C'07-C'08	SEEG	µV	n/a	n/a	intracranial	C'	4096	SEEG	n/a	good	n/a
C'08-C'09	SEEG	µV	n/a	n/a	intracranial	C'	4096	SEEG	n/a	good	n/a
F'02-F'03	SEEG	µV	n/a	n/a	intracranial	F'	4096	SEEG	n/a	good	n/a
F'04-F'05	SEEG	µV	n/a	n/a	intracranial	F'	4096	SEEG	n/a	good	n/a
F'06-F'07	SEEG	µV	n/a	n/a	intracranial	F'	4096	SEEG	n/a	good	n/a
W'02-W'03	SEEG	µV	n/a	n/a	intracranial	W'	4096	SEEG	n/a	good	n/a
W'04-W'05	SEEG	µV	n/a	n/a	intracranial	W'	4096	SEEG	n/a	good	n/a
