name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description
Q01-Q02	SEEG	µV	n/a	n/a	intracranial	Q	4096	SEEG	n/a	good	n/a
Q02-Q03	SEEG	µV	n/a	n/a	intracranial	Q	4096	SEEG	n/a	good	n/a
Q03-Q04	SEEG	µV	n/a	n/a	intracranial	Q	4096	SEEG	n/a	good	n/a
Q04-Q05	SEEG	µV	n/a	n/a	intracranial	Q	4096	SEEG	n/a	good	n/a
Q05-Q06	SEEG	µV	n/a	n/a	intracranial	Q	4096	SEEG	n/a	good	n/a
Q06-Q07	SEEG	µV	n/a	n/a	intracranial	Q	4096	SEEG	n/a	good	n/a
Q07-Q08	SEEG	µV	n/a	n/a	intracranial	Q	4096	SEEG	n/a	good	n/a
Q08-Q09	SEEG	µV	n/a	n/a	intracranial	Q	4096	SEEG	n/a	good	n/a
Q09-Q10	SEEG	µV	n/a	n/a	intracranial	Q	4096	SEEG	n/a	good	n/a
R01-R02	SEEG	µV	n/a	n/a	intracranial	R	4096	SEEG	n/a	good	n/a
R02-R03	SEEG	µV	n/a	n/a	intracranial	R	4096	SEEG	n/a	good	n/a
R03-R04	SEEG	µV	n/a	n/a	intracranial	R	4096	SEEG	n/a	good	n/a
V09-V10	SEEG	µV	n/a	n/a	intracranial	V	4096	SEEG	n/a	good	n/a
P07-P08	SEEG	µV	n/a	n/a	intracranial	P	4096	SEEG	n/a	good	n/a
P08-P09	SEEG	µV	n/a	n/a	intracranial	P	4096	SEEG	n/a	good	n/a
P09-P10	SEEG	µV	n/a	n/a	intracranial	P	4096	SEEG	n/a	good	n/a
U03-U04	SEEG	µV	n/a	n/a	intracranial	U	4096	SEEG	n/a	good	n/a
U04-U05	SEEG	µV	n/a	n/a	intracranial	U	4096	SEEG	n/a	good	n/a
U05-U06	SEEG	µV	n/a	n/a	intracranial	U	4096	SEEG	n/a	good	n/a
U11-U12	SEEG	µV	n/a	n/a	intracranial	U	4096	SEEG	n/a	good	n/a
X02-X03	SEEG	µV	n/a	n/a	intracranial	X	4096	SEEG	n/a	good	n/a
X03-X04	SEEG	µV	n/a	n/a	intracranial	X	4096	SEEG	n/a	good	n/a
X04-X05	SEEG	µV	n/a	n/a	intracranial	X	4096	SEEG	n/a	good	n/a
X05-X06	SEEG	µV	n/a	n/a	intracranial	X	4096	SEEG	n/a	good	n/a
X06-X07	SEEG	µV	n/a	n/a	intracranial	X	4096	SEEG	n/a	good	n/a
Y01-Y02	SEEG	µV	n/a	n/a	intracranial	Y	4096	SEEG	n/a	good	n/a
Y02-Y03	SEEG	µV	n/a	n/a	intracranial	Y	4096	SEEG	n/a	good	n/a
Y03-Y04	SEEG	µV	n/a	n/a	intracranial	Y	4096	SEEG	n/a	good	n/a
Y04-Y05	SEEG	µV	n/a	n/a	intracranial	Y	4096	SEEG	n/a	good	n/a
Y05-Y06	SEEG	µV	n/a	n/a	intracranial	Y	4096	SEEG	n/a	good	n/a
Y06-Y07	SEEG	µV	n/a	n/a	intracranial	Y	4096	SEEG	n/a	good	n/a
Y07-Y08	SEEG	µV	n/a	n/a	intracranial	Y	4096	SEEG	n/a	good	n/a
Y08-Y09	SEEG	µV	n/a	n/a	intracranial	Y	4096	SEEG	n/a	good	n/a
S'08-S'09	SEEG	µV	n/a	n/a	intracranial	S'	4096	SEEG	n/a	good	n/a
S'09-S'10	SEEG	µV	n/a	n/a	intracranial	S'	4096	SEEG	n/a	good	n/a
