name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description
K04-K05	SEEG	µV	n/a	n/a	intracranial	K	4096	SEEG	n/a	good	n/a
K05-K06	SEEG	µV	n/a	n/a	intracranial	K	4096	SEEG	n/a	good	n/a
K06-K07	SEEG	µV	n/a	n/a	intracranial	K	4096	SEEG	n/a	good	n/a
B02-B03	SEEG	µV	n/a	n/a	intracranial	B	4096	SEEG	n/a	good	n/a
B03-B04	SEEG	µV	n/a	n/a	intracranial	B	4096	SEEG	n/a	good	n/a
B04-B05	SEEG	µV	n/a	n/a	intracranial	B	4096	SEEG	n/a	good	n/a
B07-B08	SEEG	µV	n/a	n/a	intracranial	B	4096	SEEG	n/a	good	n/a
B08-B09	SEEG	µV	n/a	n/a	intracranial	B	4096	SEEG	n/a	good	n/a
B09-B10	SEEG	µV	n/a	n/a	intracranial	B	4096	SEEG	n/a	good	n/a
M05-M06	SEEG	µV	n/a	n/a	intracranial	M	4096	SEEG	n/a	good	n/a
M06-M07	SEEG	µV	n/a	n/a	intracranial	M	4096	SEEG	n/a	good	n/a
M07-M08	SEEG	µV	n/a	n/a	intracranial	M	4096	SEEG	n/a	good	n/a
M08-M09	SEEG	µV	n/a	n/a	intracranial	M	4096	SEEG	n/a	good	n/a
M09-M10	SEEG	µV	n/a	n/a	intracranial	M	4096	SEEG	n/a	good	n/a
M12-M13	SEEG	µV	n/a	n/a	intracranial	M	4096	SEEG	n/a	good	n/a
N01-N02	SEEG	µV	n/a	n/a	intracranial	N	4096	SEEG	n/a	good	n/a
N02-N03	SEEG	µV	n/a	n/a	intracranial	N	4096	SEEG	n/a	good	n/a
N03-N04	SEEG	µV	n/a	n/a	intracranial	N	4096	SEEG	n/a	good	n/a
N06-N07	SEEG	µV	n/a	n/a	intracranial	N	4096	SEEG	n/a	good	n/a
L'03-L'04	SEEG	µV	n/a	n/a	intracranial	L'	4096	SEEG	n/a	good	n/a
L'04-L'05	SEEG	µV	n/a	n/a	intracranial	L'	4096	SEEG	n/a	good	n/a
L'09-L'10	SEEG	µV	n/a	n/a	intracranial	L'	4096	SEEG	n/a	good	n/a
A'03-A'04	SEEG	µV	n/a	n/a	intracranial	A'	4096	SEEG	n/a	good	n/a
K'02-K'03	SEEG	µV	n/a	n/a	intracranial	K'	4096	SEEG	n/a	good	n/a
K'03-K'04	SEEG	µV	n/a	n/a	intracranial	K'	4096	SEEG	n/a	good	n/a
K'04-K'05	SEEG	µV	n/a	n/a	intracranial	K'	4096	SEEG	n/a	good	n/a
K'05-K'06	SEEG	µV	n/a	n/a	intracranial	K'	4096	SEEG	n/a	good	n/a
K'06-K'07	SEEG	µV	n/a	n/a	intracranial	K'	4096	SEEG	n/a	good	n/a
K'07-K'08	SEEG	µV	n/a	n/a	intracranial	K'	4096	SEEG	n/a	good	n/a
K'08-K'09	SEEG	µV	n/a	n/a	intracranial	K'	4096	SEEG	n/a	good	n/a
M'01-M'02	SEEG	µV	n/a	n/a	intracranial	M'	4096	SEEG	n/a	good	n/a
M'05-M'06	SEEG	µV	n/a	n/a	intracranial	M'	4096	SEEG	n/a	good	n/a
B'02-B'03	SEEG	µV	n/a	n/a	intracranial	B'	4096	SEEG	n/a	good	n/a
B'03-B'04	SEEG	µV	n/a	n/a	intracranial	B'	4096	SEEG	n/a	good	n/a
C'08-C'09	SEEG	µV	n/a	n/a	intracranial	C'	4096	SEEG	n/a	good	n/a
C'09-C'10	SEEG	µV	n/a	n/a	intracranial	C'	4096	SEEG	n/a	good	n/a
Q'01-Q'02	SEEG	µV	n/a	n/a	intracranial	Q'	4096	SEEG	n/a	good	n/a
