name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description
I01-I02	SEEG	µV	n/a	n/a	intracranial	I	4096	EEG	n/a	good	n/a
A02-A03	SEEG	µV	n/a	n/a	intracranial	A	4096	EEG	n/a	good	n/a
B01-B02	SEEG	µV	n/a	n/a	intracranial	B	4096	EEG	n/a	good	n/a
B07-B08	SEEG	µV	n/a	n/a	intracranial	B	4096	EEG	n/a	good	n/a
C02-C03	SEEG	µV	n/a	n/a	intracranial	C	4096	EEG	n/a	good	n/a
C12-C13	SEEG	µV	n/a	n/a	intracranial	C	4096	EEG	n/a	good	n/a
U04-U05	SEEG	µV	n/a	n/a	intracranial	U	4096	EEG	n/a	good	n/a
U05-U06	SEEG	µV	n/a	n/a	intracranial	U	4096	EEG	n/a	good	n/a
U06-U07	SEEG	µV	n/a	n/a	intracranial	U	4096	EEG	n/a	good	n/a
U07-U08	SEEG	µV	n/a	n/a	intracranial	U	4096	EEG	n/a	good	n/a
U08-U09	SEEG	µV	n/a	n/a	intracranial	U	4096	EEG	n/a	good	n/a
S04-S05	SEEG	µV	n/a	n/a	intracranial	S	4096	EEG	n/a	good	n/a
S08-S09	SEEG	µV	n/a	n/a	intracranial	S	4096	EEG	n/a	good	n/a
S09-S10	SEEG	µV	n/a	n/a	intracranial	S	4096	EEG	n/a	good	n/a
W06-W07	SEEG	µV	n/a	n/a	intracranial	W	4096	EEG	n/a	good	n/a
Z02-Z03	SEEG	µV	n/a	n/a	intracranial	Z	4096	EEG	n/a	good	n/a
Z13-Z14	SEEG	µV	n/a	n/a	intracranial	Z	4096	EEG	n/a	good	n/a
P01-P02	SEEG	µV	n/a	n/a	intracranial	P	4096	EEG	n/a	good	n/a
P05-P06	SEEG	µV	n/a	n/a	intracranial	P	4096	EEG	n/a	good	n/a
R02-R03	SEEG	µV	n/a	n/a	intracranial	R	4096	EEG	n/a	good	n/a
R03-R04	SEEG	µV	n/a	n/a	intracranial	R	4096	EEG	n/a	good	n/a
R10-R11	SEEG	µV	n/a	n/a	intracranial	R	4096	EEG	n/a	good	n/a
L15-L16	SEEG	µV	n/a	n/a	intracranial	L	4096	EEG	n/a	good	n/a
N01-N02	SEEG	µV	n/a	n/a	intracranial	N	4096	EEG	n/a	good	n/a
Q05-Q06	SEEG	µV	n/a	n/a	intracranial	Q	4096	EEG	n/a	good	n/a
